rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,site_vs30,site_z2pt5,result_type,damping,pgd,pgv,pga,0.01,0.20,0.50,1.00,3.00,5.00
4.00,90.00,0.00,0.00,10.00,8.70,200.00,3.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.74527E-01,4.49607E-01,4.49607E-01,4.94850E-01,5.31082E-01,5.60106E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,15.00,14.10,200.00,3.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.77937E-01,4.59425E-01,4.59425E-01,5.08365E-01,5.37832E-01,5.62942E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,30.00,29.60,200.00,3.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.81518E-01,4.70220E-01,4.70220E-01,5.23259E-01,5.44995E-01,5.65927E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,50.00,49.70,200.00,3.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.82777E-01,4.74133E-01,4.74133E-01,5.28662E-01,5.47528E-01,5.66977E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,100.00,99.90,200.00,3.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.83542E-01,4.76546E-01,4.76546E-01,5.31993E-01,5.49074E-01,5.67617E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,200.00,199.90,200.00,3.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.83830E-01,4.77460E-01,4.77460E-01,5.33255E-01,5.49657E-01,5.67858E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,5.00,0.00,500.00,3.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.67364E-01,4.67364E-01,5.21761E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,10.00,8.70,500.00,3.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.71905E-01,4.71905E-01,5.27008E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,15.00,14.10,500.00,3.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.74140E-01,4.74140E-01,5.29578E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
4.00,90.00,0.00,0.00,30.00,29.60,500.00,3.50,INTRA_EVENT_STDDEV,5.00,6.67000E-01,4.84000E-01,4.76436E-01,4.76436E-01,5.32212E-01,5.50000E-01,5.68000E-01,5.58000E-01,6.01000E-01
