rup_mag,rup_rake,dist_rrup,site_vs30,rup_hypo_depth,result_type,mmi
6,0,91.79235938,1000,20,TOTAL_STDDEV,0.434165867
6,0,48.39898828,1000,20,TOTAL_STDDEV,0.434165867
6,0,25.10792188,1000,20,TOTAL_STDDEV,0.434165867
6,0,11.22122949,1000,20,TOTAL_STDDEV,0.434165867
6,0,0.001,1000,20,TOTAL_STDDEV,0.434165867
7,0,390.7320313,1000,20,TOTAL_STDDEV,0.434165867
7,0,206.5720781,1000,20,TOTAL_STDDEV,0.434165867
7,0,109.1883906,1000,20,TOTAL_STDDEV,0.434165867
7,0,57.63489453,1000,20,TOTAL_STDDEV,0.434165867
7,0,30.13521875,1000,20,TOTAL_STDDEV,0.434165867
7,0,14.60931152,1000,20,TOTAL_STDDEV,0.434165867
8,0,878.943625,1000,20,TOTAL_STDDEV,0.434165867
8,0,464.6945,1000,20,TOTAL_STDDEV,0.434165867
8,0,245.6780469,1000,20,TOTAL_STDDEV,0.434165867
8,0,129.8712344,1000,20,TOTAL_STDDEV,0.434165867
8,0,68.59713281,1000,20,TOTAL_STDDEV,0.434165867
8,0,36.03087891,1000,20,TOTAL_STDDEV,0.434165867
9,0,1977.1555,1000,20,TOTAL_STDDEV,0.434165867
9,0,1045.318375,1000,20,TOTAL_STDDEV,0.434165867
9,0,552.6569375,1000,20,TOTAL_STDDEV,0.434165867
9,0,292.185125,1000,20,TOTAL_STDDEV,0.434165867
9,0,154.4648125,1000,20,TOTAL_STDDEV,0.434165867
9,0,81.61894531,1000,20,TOTAL_STDDEV,0.434165867
9,0,42.98531641,1000,20,TOTAL_STDDEV,0.434165867
4,0,34.01726563,1600,20,TOTAL_STDDEV,0.434165867
4,0,16.97464648,1600,20,TOTAL_STDDEV,0.434165867
4,0,0.001,1600,20,TOTAL_STDDEV,0.434165867
4,0,0.001,1600,20,TOTAL_STDDEV,0.434165867
4,0,0.001,1600,20,TOTAL_STDDEV,0.434165867
4,0,0.001,1600,20,TOTAL_STDDEV,0.434165867
5,0,77.15785938,1600,20,TOTAL_STDDEV,0.434165867
5,0,40.6068125,1600,20,TOTAL_STDDEV,0.434165867
5,0,20.77679102,1600,20,TOTAL_STDDEV,0.434165867
5,0,7.363568359,1600,20,TOTAL_STDDEV,0.434165867
5,0,0.001,1600,20,TOTAL_STDDEV,0.434165867
5,0,0.001,1600,20,TOTAL_STDDEV,0.434165867
6,0,173.688875,1600,20,TOTAL_STDDEV,0.434165867
6,0,91.79235938,1600,20,TOTAL_STDDEV,0.434165867
6,0,48.39898828,1600,20,TOTAL_STDDEV,0.434165867
6,0,25.10792188,1600,20,TOTAL_STDDEV,0.434165867
6,0,11.22122949,1600,20,TOTAL_STDDEV,0.434165867
6,0,0.001,1600,20,TOTAL_STDDEV,0.434165867
7,0,390.7320313,1600,20,TOTAL_STDDEV,0.434165867
7,0,206.5720781,1600,20,TOTAL_STDDEV,0.434165867
7,0,109.1883906,1600,20,TOTAL_STDDEV,0.434165867
7,0,57.63489453,1600,20,TOTAL_STDDEV,0.434165867
7,0,30.13521875,1600,20,TOTAL_STDDEV,0.434165867
7,0,14.60931152,1600,20,TOTAL_STDDEV,0.434165867
8,0,878.943625,1600,20,TOTAL_STDDEV,0.434165867
8,0,464.6945,1600,20,TOTAL_STDDEV,0.434165867
8,0,245.6780469,1600,20,TOTAL_STDDEV,0.434165867
8,0,129.8712344,1600,20,TOTAL_STDDEV,0.434165867
8,0,68.59713281,1600,20,TOTAL_STDDEV,0.434165867
8,0,36.03087891,1600,20,TOTAL_STDDEV,0.434165867
9,0,1977.1555,1600,20,TOTAL_STDDEV,0.434165867
9,0,1045.318375,1600,20,TOTAL_STDDEV,0.434165867
9,0,552.6569375,1600,20,TOTAL_STDDEV,0.434165867
9,0,292.185125,1600,20,TOTAL_STDDEV,0.434165867
9,0,154.4648125,1600,20,TOTAL_STDDEV,0.434165867
9,0,81.61894531,1600,20,TOTAL_STDDEV,0.434165867
9,0,42.98531641,1600,20,TOTAL_STDDEV,0.434165867
