rup_mag,dist_rjb,result_type,damping,pga,0.1,0.2,0.3,0.5,1,2
8,27.5,MEAN,5,1.0026982,2.1961253,2.0191860,1.8340298,1.2476891,0.4894653,0.1777522
8,32.5,MEAN,5,0.8966351,1.9638243,1.8056012,1.6437832,1.1201247,0.4394760,0.1599038
8,37.5,MEAN,5,0.8112093,1.7767235,1.6335750,1.4902951,1.0172569,0.3993737,0.1456912
8,42.5,MEAN,5,0.7405424,1.6219477,1.4912692,1.3631272,0.9320574,0.3663077,0.1340481
8,47.5,MEAN,5,0.6808485,1.4912051,1.3710605,1.2555509,0.8599976,0.3384489,0.1242942
8,52.5,MEAN,5,0.6357243,1.3923734,1.2801915,1.1712461,0.8005819,0.3136756,0.1147640
8,57.5,MEAN,5,0.6014647,1.3173374,1.2112011,1.1044439,0.7508501,0.2914214,0.1055482
8,62.5,MEAN,5,0.570471,1.2494546,1.1487875,1.0444090,0.7066297,0.2719763,0.0976506
8,67.5,MEAN,5,0.5422219,1.1875829,1.0919007,0.9900211,0.6669575,0.2548090,0.0908009
8,72.5,MEAN,5,0.5163118,1.1308341,1.0397241,0.9404137,0.6310956,0.2395181,0.0847991
8,77.5,MEAN,5,0.4924192,1.0785043,0.9916105,0.8949039,0.5984670,0.2257948,0.0794936
8,82.5,MEAN,5,0.4702855,1.0300266,0.9470385,0.8529443,0.5686132,0.2133967,0.0747671
8,87.5,MEAN,5,0.4496987,0.9849373,0.9055820,0.8140894,0.5411639,0.2021307,0.0705278
8,92.5,MEAN,5,0.4304839,0.9428526,0.8668881,0.7779723,0.5158168,0.1918409,0.0667025
8,97.5,MEAN,5,0.4124942,0.9034513,0.8306612,0.7442873,0.4923213,0.1824000,0.0632321
8.5,2.5,MEAN,5,1.4993025,3.0011632,3.0011632,3.0011632,3.0011632,2.0194316,0.7490448
8.5,7.5,MEAN,5,1.4993025,3.0011632,3.0011632,3.0011632,3.0011632,1.6218391,0.5983040
8.5,12.5,MEAN,5,1.4993025,3.0011632,3.0011632,3.0011632,3.0011632,1.3182567,0.4840313
8.5,17.5,MEAN,5,1.4993025,3.0011632,3.0011632,3.0011632,2.8115730,1.1158803,0.4088324
8.5,22.5,MEAN,5,1.4993025,3.0011632,3.0011632,3.0011632,2.4563170,0.9733633,0.3565059
8.5,27.5,MEAN,5,1.4993025,3.0011632,3.0011632,3.0011632,2.1890678,0.8669578,0.3178460
8.5,32.5,MEAN,5,1.4993025,3.0011632,3.0011632,2.8796351,1.9788872,0.7838140,0.2879137
8.5,37.5,MEAN,5,1.4188443,3.0011632,2.8572023,2.6264172,1.8079392,0.7165654,0.2638976
8.5,42.5,MEAN,5,1.3020871,2.8518517,2.6220820,2.4149942,1.6652679,0.6607097,0.2440906
8.5,47.5,MEAN,5,1.2027727,2.6343322,2.4220877,2.2348945,1.5437669,0.6133392,0.2273968
8.5,52.5,MEAN,5,1.1278373,2.4702072,2.2711859,2.0937045,1.4432273,0.5708644,0.2108549
8.5,57.5,MEAN,5,1.071195,2.3461483,2.1571224,1.9819455,1.3588233,0.5324200,0.1946749
8.5,62.5,MEAN,5,1.0196132,2.2331731,2.0532494,1.8808842,1.2833499,0.4986635,0.1807494
8.5,67.5,MEAN,5,0.9723119,2.1295729,1.9579961,1.7888033,1.2152848,0.4687246,0.1686239
8.5,72.5,MEAN,5,0.9286816,2.0340133,1.8701356,1.7043681,1.1534567,0.4419445,0.1579598
8.5,77.5,MEAN,5,0.8882368,1.9454304,1.7886897,1.6265214,1.0969462,0.4178134,0.1484999
8.5,82.5,MEAN,5,0.8505849,1.8629645,1.7128680,1.5544130,1.0450195,0.3959300,0.1400448
8.5,87.5,MEAN,5,0.8154033,1.7859094,1.6420211,1.4873478,0.9970822,0.3759738,0.1324376
8.5,92.5,MEAN,5,0.7824237,1.7136769,1.5756084,1.4247507,0.9526469,0.3576851,0.1255531
8.5,97.5,MEAN,5,0.7514209,1.6457738,1.5131761,1.3661413,0.9113085,0.3408511,0.1192899
