rup_mag,rup_rake,rup_dip,dist_rrup,dist_rjb,result_type,damping,pga,0.1,0.2,0.3,0.5,1,2
6.8,90,60,15,0,MEAN,5,0.39291319,0.63697559,0.87197495,0.79627675,0.57151705,0.27722308,9.32E-02
6.8,90,60,15,1,MEAN,5,0.36488736,0.59154123,0.80977845,0.73947966,0.53075171,0.26207283,9.02E-02
6.8,90,60,15,2,MEAN,5,0.33886057,0.54934758,0.75201833,0.68673384,0.49289405,0.24775057,8.74E-02
6.8,90,60,15,3,MEAN,5,0.31469023,0.51016355,0.69837815,0.63775027,0.45773676,0.234211,8.47E-02
6.8,90,60,15,4,MEAN,5,0.2922439,0.47377443,0.64856398,0.59226066,0.42508718,0.22141141,8.20E-02
6.8,90,60,15,5,MEAN,5,0.27139863,0.43998092,0.60230303,0.55001569,0.39476642,0.20931128,7.94E-02
6.8,90,60,15,6,MEAN,5,0.25204024,0.40859783,0.55934179,0.51078397,0.36660841,0.19787242,7.69E-02
6.8,90,60,15,7,MEAN,5,0.23406263,0.37945321,0.51944488,0.47435063,0.34045884,0.18705872,7.45E-02
6.8,90,60,15,8,MEAN,5,0.21736734,0.35238746,0.48239374,0.44051602,0.31617451,0.17683597,7.21E-02
6.8,90,60,15,9,MEAN,5,0.20186289,0.32725227,0.44798541,0.40909475,0.29362231,0.16717188,6.99E-02
7.3,90,60,15,0,MEAN,5,0.52477568,0.78139019,1.1050838,1.063467,0.83034784,0.4478423,0.17003191
7.3,90,60,15,1,MEAN,5,0.48734435,0.72565496,1.0262601,0.98761177,0.77112055,0.42336774,0.16467702
7.3,90,60,15,2,MEAN,5,0.4525829,0.67389524,0.95305872,0.91716707,0.7161178,0.40023071,0.15949078
7.3,90,60,15,3,MEAN,5,0.42030093,0.62582743,0.88507867,0.8517471,0.66503835,0.37835813,0.15446788
7.3,90,60,15,4,MEAN,5,0.39032158,0.5811882,0.82194746,0.79099339,0.61760229,0.35768089,0.14960314
7.3,90,60,15,5,MEAN,5,0.36248058,0.53973305,0.76331937,0.73457319,0.57354975,0.33813363,0.14489163
7.3,90,60,15,6,MEAN,5,0.33662546,0.50123483,0.70887309,0.68217736,0.53263944,0.31965464,0.14032851
7.3,90,60,15,7,MEAN,5,0.31261453,0.46548256,0.65831035,0.63351876,0.49464715,0.30218551,0.13590908
7.3,90,60,15,8,MEAN,5,0.29031628,0.43228048,0.61135417,0.58833092,0.4593648,0.28567111,0.13162884
7.3,90,60,15,9,MEAN,5,0.2696085,0.40144664,0.56774735,0.54636633,0.42659909,0.2700592,0.1274834
7.8,90,60,15,0,MEAN,5,0.67939788,0.93599713,1.3344483,1.3338776,1.1012036,0.63412046,0.2581487
7.8,90,60,15,1,MEAN,5,0.63093758,0.86923403,1.2392644,1.2387344,1.0226566,0.59946579,0.25001872
7.8,90,60,15,2,MEAN,5,0.58593386,0.80723304,1.1508698,1.1503776,0.94971222,0.56670499,0.24214475
7.8,90,60,15,3,MEAN,5,0.54414022,0.74965447,1.0687802,1.068323,0.88197082,0.53573459,0.2345188
7.8,90,60,15,4,MEAN,5,0.50532758,0.69618291,0.9925459,0.9921214,0.81906134,0.50645673,0.22713299
7.8,90,60,15,5,MEAN,5,0.46928343,0.64652532,0.92174929,0.92135507,0.76063907,0.4787789,0.21997981
7.8,90,60,15,6,MEAN,5,0.43581024,0.60040975,0.85600245,0.85563636,0.706384,0.45261365,0.2130519
7.8,90,60,15,7,MEAN,5,0.40472463,0.55758357,0.79494524,0.79460526,0.65599883,0.42787835,0.20634216
7.8,90,60,15,8,MEAN,5,0.37585631,0.51781207,0.73824316,0.73792738,0.60920751,0.40449482,0.19984375
7.8,90,60,15,9,MEAN,5,0.34904709,0.4808774,0.6855855,0.6852923,0.56575382,0.38238919,0.19354998
