Weighting Option,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
original,3,5,0.5,6.9560997700E+00,-1.5552100000E-01,-2.9186753000E-01,-1.1965519600E+00,-6.1186800000E-03,2.9006000000E-04,-4.7597543000E-01,5.2335300000E-01,4.4269975000E-01,-2.9714650000E-02
original,4,5,0.5,7.6997820100E+00,-2.0984409000E-01,-3.0243500000E-01,-1.2668768900E+00,-5.3664400000E-03,2.4752000000E-04,5.7452004000E-01,5.0052182000E-01,9.4764755000E-01,-6.1522508000E-01
original,5,5,0.5,7.5768704200E+00,-1.3258220000E-01,-3.0345299000E-01,-1.2851028800E+00,-3.7772200000E-03,8.4030000000E-05,4.1491183000E-01,5.4831170000E-01,9.6393567000E-01,-6.6160457000E-01
original,1,5,0.75,7.8738294000E+00,-3.6265484000E-01,-3.1042909000E-01,-1.4212011600E+00,-6.5659100000E-03,4.2996000000E-04,7.6151157700E+00,1.4958322000E-01,4.5366489000E-01,2.5540158000E-01
original,2,5,0.75,7.9125900800E+00,-2.7913913000E-01,-3.3568981000E-01,-1.3174462200E+00,-5.2907200000E-03,2.1956000000E-04,5.2854301900E+00,1.9027000000E-01,3.3510402000E-01,2.3475255000E-01
original,3,5,0.75,6.5290987400E+00,-1.6891597000E-01,-3.1817645000E-01,-1.1463978500E+00,-6.1014000000E-03,2.9175000000E-04,-4.7388332000E-01,5.1272980000E-01,4.9652116000E-01,9.2336630000E-02
original,4,5,0.75,7.1059641400E+00,-1.9747159000E-01,-3.2566705000E-01,-1.2237519600E+00,-5.3982700000E-03,2.5660000000E-04,4.8800185000E-01,5.1698173000E-01,1.0730466000E+00,-5.8538511000E-01
original,5,5,0.75,6.6685515400E+00,-8.0537940000E-02,-3.2119864000E-01,-1.2357835300E+00,-4.0125000000E-03,1.1834000000E-04,3.3936422000E-01,5.6838475000E-01,1.0805529400E+00,-6.5095495000E-01
original,1,5,1,7.8524921600E+00,-4.0928149000E-01,-3.3326505000E-01,-1.3970471900E+00,-6.5936300000E-03,4.6605000000E-04,8.0893001500E+00,1.3886317000E-01,4.9230767000E-01,2.9170851000E-01
original,2,5,1,7.2107855600E+00,-2.4462232000E-01,-3.4675441000E-01,-1.2752864700E+00,-5.5184600000E-03,2.8036000000E-04,5.3618372000E+00,1.8343443000E-01,3.6223612000E-01,2.8526040000E-01
