rup_mag,rup_hypo_depth,dist_rhypo,site_vs30,site_xvf,result_type,damping,pga,0.1,0.2,0.5,1.0,2.0,5.0
7.5,90.0,300.0,600.0,-120.0,MEAN,5,4.85198434e-03,6.54783784e-03,1.10674285e-02,1.90342300e-02,1.98883302e-02,1.18750122e-02,2.40820429e-03
7.5,90.0,60.0,900.0,120.0,MEAN,5,5.66698376e-01,1.31787893e+00,1.34192479e+00,6.08850940e-01,2.60723863e-01,8.81512819e-02,1.82024892e-02
7.5,90.0,120.0,900.0,60.0,MEAN,5,1.74019352e-01,4.02450850e-01,4.12344179e-01,2.33500828e-01,1.16201474e-01,4.25153933e-02,8.74957037e-03
7.5,90.0,180.0,900.0,-0.0,MEAN,5,4.61386307e-02,9.24765219e-02,1.07271022e-01,8.47324202e-02,5.33643586e-02,2.27456633e-02,4.77154749e-03
7.5,90.0,240.0,900.0,-60.0,MEAN,5,9.64727710e-03,1.49958853e-02,2.15691063e-02,2.75178680e-02,2.43477454e-02,1.35246665e-02,2.99641234e-03
7.5,90.0,300.0,900.0,-120.0,MEAN,5,4.09855951e-03,5.80422137e-03,9.02736608e-03,1.40408342e-02,1.41653577e-02,8.74768127e-03,1.89122385e-03
7.5,135.0,60.0,300.0,120.0,MEAN,5,6.86300275e-01,9.49423115e-01,1.26702938e+00,1.26526822e+00,7.36595261e-01,2.51672121e-01,3.55639070e-02
7.5,135.0,120.0,300.0,60.0,MEAN,5,3.01840836e-01,5.02153319e-01,6.79678706e-01,6.40051947e-01,3.75185757e-01,1.23885709e-01,1.70948547e-02
7.5,135.0,180.0,300.0,-0.0,MEAN,5,9.82439171e-02,1.61805350e-01,2.39905253e-01,2.65638336e-01,1.83508927e-01,6.69205960e-02,9.32261900e-03
7.5,135.0,240.0,300.0,-60.0,MEAN,5,2.21194096e-02,2.97932014e-02,5.37120594e-02,9.01935202e-02,8.54718635e-02,3.99169991e-02,5.85437128e-03
7.5,135.0,300.0,300.0,-120.0,MEAN,5,9.51099685e-03,1.17757042e-02,2.28736390e-02,4.63460860e-02,4.98891024e-02,2.58309565e-02,3.69506107e-03
7.5,135.0,60.0,600.0,120.0,MEAN,5,8.30932654e-01,1.59364148e+00,2.01353573e+00,1.20091927e+00,5.15323882e-01,1.54424014e-01,2.35285730e-02
7.5,135.0,120.0,600.0,60.0,MEAN,5,2.83550808e-01,5.85951925e-01,6.92230677e-01,4.60565347e-01,2.29673624e-01,7.44787547e-02,1.13097117e-02
7.5,135.0,180.0,600.0,-0.0,MEAN,5,7.90800598e-02,1.48168613e-01,1.89757282e-01,1.67129243e-01,1.05475303e-01,3.98460075e-02,6.16771161e-03
7.5,135.0,240.0,600.0,-60.0,MEAN,5,1.68131021e-02,2.48211940e-02,3.88101018e-02,5.42772226e-02,4.81236145e-02,2.36926026e-02,3.87316844e-03
7.5,135.0,300.0,600.0,-120.0,MEAN,5,7.16175279e-03,9.65712173e-03,1.62869234e-02,2.76946413e-02,2.79980016e-02,1.53242475e-02,2.44459964e-03
7.5,135.0,60.0,900.0,120.0,MEAN,5,8.37002617e-01,1.90707366e+00,1.97606007e+00,8.85872891e-01,3.67036703e-01,1.13755846e-01,1.84775846e-02
7.5,135.0,120.0,900.0,60.0,MEAN,5,2.57023240e-01,5.88710737e-01,6.07200098e-01,3.39741700e-01,1.63583821e-01,5.48644833e-02,8.88180319e-03
