id,lon,lat,number,nonstructural,structural,night,taxonomy,NAME_1,NAME_2,NAME_3,NAME_4,policy
a5977,81.43882,28.26117,246,19845,11340,1200,Stone-Masonry,Mid-Western,Bheri,Bardiya,Dhadhawar,p_Mid-Western
a5978,83.08882,28.18617,246,19845,11340,1200,Stone-Masonry,West,Lumbini,Gulmi,Sirseni,p_West
a5979,82.48882,28.63617,246,19845,11340,1200,Stone-Masonry,Mid-Western,Rapti,Rukum,Sankha,p_Mid-Western
a5980,87.36382,26.76117,247,19845,11340,1205,Stone-Masonry,East,Koshi,Morang,Yangshila,p_East
a5981,81.58882,28.86117,247,19845,11340,1205,Stone-Masonry,Mid-Western,Bheri,Dailekh,Padukasthan,p_Mid-Western
a5982,84.88882,27.51117,247,19845,11340,1205,Stone-Masonry,Central,Narayani,Makwanpur,SarikhetPalase,p_Central_Makwanpur
a5983,86.76382,27.06117,247,19845,11340,1205,Stone-Masonry,East,Sagarmatha,Khotang,Batase,p_East
a5984,83.61382,28.11117,248,19845,11340,1210,Stone-Masonry,West,Dhaualagiri,Parbat,Pangrang,p_West
a5985,86.31382,27.06117,248,19845,11340,1210,Stone-Masonry,Central,Janakpur,Sindhuli,KakurThakur,p_Central_Sindhuli
a5986,87.51382,26.91117,248,19845,11340,1210,Stone-Masonry,East,Koshi,Dhankuta,Mudebas,p_East
a5987,80.83882,28.63617,249,19845,11340,1215,Stone-Masonry,Far-Western,Seti,Kailali,Udasipur,p_Far-Western
