rup_mag,dist_repi,rup_hypo_depth,result_type,mmi 
4.8,1,30,MEAN,5.525
4.8,1,40,MEAN,5.525
4.8,2,5,MEAN,5.466
4.8,2,10,MEAN,5.509
4.8,2,15,MEAN,5.518
4.8,2,20,MEAN,5.521
4.8,2,30,MEAN,5.523
4.8,2,40,MEAN,5.524
4.8,3,5,MEAN,5.402
4.8,3,10,MEAN,5.49
4.8,3,15,MEAN,5.509
4.8,3,20,MEAN,5.516
4.8,3,30,MEAN,5.521
4.8,3,40,MEAN,5.523
4.8,4,5,MEAN,5.326
4.8,4,10,MEAN,5.464
4.8,4,15,MEAN,5.497
4.8,4,20,MEAN,5.509
4.8,4,30,MEAN,5.518
4.8,4,40,MEAN,5.521
4.8,5,5,MEAN,5.246
4.8,5,10,MEAN,5.434
4.8,5,15,MEAN,5.481
4.8,5,20,MEAN,5.499
4.8,5,30,MEAN,5.513
4.8,5,40,MEAN,5.518
4.8,6,5,MEAN,5.165
4.8,6,10,MEAN,5.399
4.8,6,15,MEAN,5.463
4.8,6,20,MEAN,5.489
4.8,6,30,MEAN,5.508
4.8,6,40,MEAN,5.515
4.8,7,5,MEAN,5.087
4.8,7,10,MEAN,5.361
4.8,7,15,MEAN,5.443
4.8,7,20,MEAN,5.476
4.8,7,30,MEAN,5.502
4.8,7,40,MEAN,5.511
4.8,8,5,MEAN,5.011
4.8,8,10,MEAN,5.321
4.8,8,15,MEAN,5.42
4.8,8,20,MEAN,5.462
4.8,8,30,MEAN,5.495
4.8,8,40,MEAN,5.507
4.8,9,5,MEAN,4.94
4.8,9,10,MEAN,5.28
4.8,9,15,MEAN,5.396
4.8,9,20,MEAN,5.446
4.8,9,30,MEAN,5.487
4.8,9,40,MEAN,5.503
4.8,10,5,MEAN,4.872
4.8,10,10,MEAN,5.239
4.8,10,15,MEAN,5.371
4.8,10,20,MEAN,5.43
4.8,10,30,MEAN,5.478
4.8,10,40,MEAN,5.497
4.8,11,5,MEAN,4.808
4.8,11,10,MEAN,5.197
4.8,11,15,MEAN,5.344
4.8,11,20,MEAN,5.412
4.8,11,30,MEAN,5.469
4.8,11,40,MEAN,5.492
4.8,12,5,MEAN,4.747
4.8,12,10,MEAN,5.156
4.8,12,15,MEAN,5.317
4.8,12,20,MEAN,5.393
4.8,12,30,MEAN,5.459
4.8,12,40,MEAN,5.485
4.8,14,5,MEAN,4.635
4.8,14,10,MEAN,5.074
4.8,14,15,MEAN,5.26
4.8,14,20,MEAN,5.354
4.8,14,30,MEAN,5.437
4.8,14,40,MEAN,5.472
4.8,16,5,MEAN,4.534
4.8,16,10,MEAN,4.996
4.8,16,15,MEAN,5.203
4.8,16,20,MEAN,5.312
4.8,16,30,MEAN,5.413
4.8,16,40,MEAN,5.456
4.8,18,5,MEAN,4.443
4.8,18,10,MEAN,4.921
4.8,18,15,MEAN,5.146
4.8,18,20,MEAN,5.269
4.8,18,30,MEAN,5.387
4.8,18,40,MEAN,5.44
4.8,20,5,MEAN,4.359
4.8,20,10,MEAN,4.851
4.8,20,15,MEAN,5.09
4.8,20,20,MEAN,5.225
4.8,20,30,MEAN,5.36
4.8,20,40,MEAN,5.421
4.8,22,5,MEAN,4.281
4.8,22,10,MEAN,4.783
4.8,22,15,MEAN,5.034
